url,api,get,post,put,patch,delete
/patchinternalsources,pro,False,N/A,N/A,N/A,N/A
/patchinternalsources/id/{id},pro,False,N/A,N/A,N/A,N/A
/patchinternalsources/name/{name},pro,False,N/A,N/A,N/A,N/A
/patchpolicies,pro,False,N/A,N/A,N/A,N/A
/patchpolicies/id/{id},pro,False,N/A,False,N/A,False
/patchpolicies/id/{id}/subset/{subset},pro,False,N/A,N/A,N/A,N/A
/patchpolicies/softwaretitleconfig/id/{softwaretitleconfigid},pro,False,False,N/A,N/A,N/A
/patchreports/patchsoftwaretitleid/{id},pro,False,N/A,N/A,N/A,N/A
/patchreports/patchsoftwaretitleid/{id}/version/{version},pro,False,N/A,N/A,N/A,N/A
/patchsoftwaretitles,pro,False,N/A,N/A,N/A,N/A
/patchsoftwaretitles/id/{id},pro,False,False,False,N/A,False
/peripherals,pro,False,N/A,N/A,N/A,N/A
/peripherals/id/{id},pro,False,False,False,N/A,False
/peripherals/id/{id}/subset/{subset},pro,False,N/A,N/A,N/A,N/A
/peripheraltypes,pro,False,N/A,N/A,N/A,N/A
/peripheraltypes/id/{id},pro,False,False,False,N/A,False
/policies,pro,True,N/A,N/A,N/A,N/A
/policies/category/{category},pro,True,N/A,N/A,N/A,N/A
/policies/createdBy/{createdBy},pro,True,N/A,N/A,N/A,N/A
/policies/id/{id},pro,True,False,True,N/A,True
/policies/id/{id}/subset/{subset},pro,False,N/A,N/A,N/A,N/A
/policies/name/{name},pro,True,N/A,N/A,N/A,N/A
/printers,pro,True,N/A,N/A,N/A,N/A
/printers/id/{id},pro,True,False,True,N/A,True
/printers/name/{name},pro,True,N/A,N/A,N/A,N/A
/removablemacaddresses,pro,False,N/A,N/A,N/A,N/A
/removablemacaddresses/id/{id},pro,False,False,False,N/A,False
/removablemacaddresses/name/{name},pro,False,N/A,N/A,N/A,N/A
/restrictedsoftware,pro,False,N/A,N/A,N/A,N/A
/restrictedsoftware/id/{id},pro,False,False,False,N/A,False
/restrictedsoftware/name/{name},pro,False,N/A,N/A,N/A,N/A
/savedsearches,pro,False,N/A,N/A,N/A,N/A
/savedsearches/id/{id},pro,False,N/A,N/A,N/A,N/A
/savedsearches/name/{name},pro,False,N/A,N/A,N/A,N/A
/scripts,pro,True,N/A,N/A,N/A,N/A
/scripts/id/{id},pro,True,False,True,N/A,True
/scripts/name/{name},pro,True,N/A,N/A,N/A,N/A
/sites,pro,True,N/A,N/A,N/A,N/A
/sites/id/{id},pro,True,False,True,N/A,True
/sites/name/{name},pro,True,N/A,N/A,N/A,N/A
/smtpserver,pro,False,N/A,False,N/A,N/A
/softwareupdateservers,pro,False,N/A,N/A,N/A,N/A
/softwareupdateservers/id/{id},pro,False,False,False,N/A,False
/softwareupdateservers/name/{name},pro,False,N/A,N/A,N/A,N/A
/userextensionattributes,pro,False,N/A,N/A,N/A,N/A
/userextensionattributes/id/{id},pro,False,False,False,N/A,False
/userextensionattributes/name/{name},pro,False,N/A,N/A,N/A,N/A
/usergroups,pro,False,N/A,N/A,N/A,N/A
/usergroups/id/{id},pro,False,False,False,N/A,False
/usergroups/name/{name},pro,False,N/A,N/A,N/A,N/A
/users,pro,False,N/A,N/A,N/A,N/A
/users/email/{email},pro,False,N/A,N/A,N/A,N/A
/users/id/{id},pro,False,False,False,N/A,False
/users/name/{name},pro,False,N/A,N/A,N/A,N/A
/vppaccounts,pro,False,N/A,N/A,N/A,N/A
/vppaccounts/id/{id},pro,False,False,False,N/A,False
/vppassignments,pro,False,N/A,N/A,N/A,N/A
/vppassignments/id/{id},pro,False,False,False,N/A,False
/vppinvitations,pro,False,N/A,N/A,N/A,N/A
/vppinvitations/id/{id},pro,False,False,False,N/A,False
/vppinvitations/id/{id}/subset/{subset},pro,False,N/A,N/A,N/A,N/A
/webhooks,pro,False,N/A,N/A,N/A,N/A
/webhooks/id/{id},pro,False,False,False,N/A,False
